what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1398334658978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398334660044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398334737486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398334739412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398336144448
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398336149309
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398336149388
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398336152493
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398336152493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398336155292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398341025250
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398341034947
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398341035079
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398341038015
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398341047858
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398341047999
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398341052257
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398341060150
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398341060305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398341060429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398341062318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398341063488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398342056705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398342058951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398366397829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398366401048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398366618703
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398366622493
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398366627091
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398366627104
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398366628884
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398366628884
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.file.newQuickMenu",1398366630688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398366634340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398366635690
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398366654863
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398366655196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398366656474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398367694641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398367695684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398367709872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398368042335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398368044347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398368051683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1398368053196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398368054404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1398368057203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398368065104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398368066822
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398368068986
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1398368080968
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1398368081000
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1398368081001
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1398368081014
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1398368081015
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1398368081118
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1398368081118
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1398368081118
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1398368081273
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1398368081327
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1398368081327
