what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1398313147677
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1398313147678
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1398313147679
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1398313147681
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1398313147682
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1398313147685
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1398313147686
os,sysinfo,,,"win32",1398313147692
arch,sysinfo,,,"x86_64",1398313147692
ws,sysinfo,,,"win32",1398313147692
locale,sysinfo,,,"en_US",1398313147692
processors,sysinfo,,,"4",1398313147692
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1398313147692
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1398313147692
java.specification.name,sysinfo,,,"Java Platform API Specification",1398313147692
java.specification.vendor,sysinfo,,,"Oracle Corporation",1398313147692
java.specification.version,sysinfo,,,"1.7",1398313147692
java.vendor,sysinfo,,,"Oracle Corporation",1398313147692
java.version,sysinfo,,,"1.7.0_09",1398313147692
java.vm.info,sysinfo,,,"mixed mode",1398313147692
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1398313147692
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398313147692
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1398313147692
java.vm.specification.version,sysinfo,,,"1.7",1398313147692
java.vm.vendor,sysinfo,,,"Oracle Corporation",1398313147692
java.vm.version,sysinfo,,,"23.5-b02",1398313147692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398313150003
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1398313152639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398313155083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398313157399
