what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1397772651092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1397772663846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772664294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772763534
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1397772766500
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1397772766820
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1397772766830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772766927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772767330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772767417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772769686
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397772773107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772774442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772787099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397772788270
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397772790340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1397772791188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772796356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772799721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772804491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397772804582
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1397772804723
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1397772804768
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1397772804839
